'nuts', 'value'
'NO011', 1
'NO012', 2.5
'NO021', 3
'NO022', 4
'NO031', 5
'NO032', 1
'NO033', 2
'NO034', 3
'NO041', 4
'NO042', 5
'NO043', 1
'NO051', 2
'NO052', 3
'NO053', 4
'NO060', 5
'NO071', 1
'NO072', 2
'NO073', 3
'FI193', 3
'FI194', 4
'FI195', 5
'FI196', 6
'FI197', 7
'FI1B1', 3
'FI1C1', 4
'FI1C2', 5
'FI1C3', 6
'FI1C4', 7
'FI1C5', 3
'FI1D1', 4
'FI1D2', 5
'FI1D3', 6
'FI1D5', 7
'FI1D7', 3
'FI1D8', 4
'FI1D9', 5
'FI200', 5
'SE110', 6
'SE121', 7
'SE122', 8
'SE123', 9
'SE124', 5
'SE125', 6
'SE211', 7
'SE212', 8
'SE213', 9
'SE214', 5
'SE311', 6
'SE312', 7
'SE313', 8
'SE321', 9
'SE322', 5
'SE331', 6
'SE332', 7
